Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
242,2.37665,-0.103574,0.127963,10.1139,9.5386,458.375,96,64,64,80
243,2.38082,-0.101698,0.129543,10.3913,9.64912,458.901,96,64,64,80
244,2.38708,-0.106747,0.124355,10.8576,9.95568,459.785,96,64,64,80
245,2.38982,-0.110207,0.124905,11.299,10.0193,460.403,96,64,64,80
246,2.38908,-0.111993,0.128776,11.6506,9.78552,460.664,96,64,64,80
247,2.38745,-0.112878,0.134306,11.9353,9.57542,460.8,96,64,64,80
248,2.38455,-0.112944,0.132587,12.047,9.30034,460.764,96,64,64,80
249,2.38472,-0.112468,0.132169,12.2154,9.10889,460.733,96,64,64,80
250,2.38563,-0.111836,0.13197,12.4031,9.01892,460.7,96,64,64,80
251,2.3857,-0.110979,0.130545,12.5164,8.87353,460.556,92,64,64,80
252,2.38614,-0.11019,0.132029,12.7186,8.77302,460.549,92,64,64,80
253,2.3847,-0.110887,0.133471,12.8715,8.64047,460.467,92,64,64,80
254,2.38426,-0.111148,0.132456,13.0219,8.47702,460.488,92,64,64,80
255,2.38397,-0.110427,0.132533,13.0884,8.35318,460.595,92,64,64,80
256,2.38349,-0.109546,0.131529,13.1218,8.25211,460.688,92,64,64,80
257,2.38254,-0.108427,0.131733,13.1936,8.07402,460.77,92,64,64,80
258,2.38062,-0.106673,0.132449,13.2354,7.90246,460.758,92,64,64,80
259,2.3783,-0.106918,0.130033,13.4146,7.66169,460.884,92,64,64,80
260,2.37236,-0.108927,0.125887,13.602,7.40946,461.208,92,64,64,80
261,2.36692,-0.113725,0.11005,13.9656,7.07076,461.791,88,64,64,80
262,2.3645,-0.115509,0.0956934,14.6328,6.91135,462.045,88,64,64,80
263,2.35972,-0.109545,0.0866793,15.0851,6.53286,461.873,88,64,64,80
264,2.3552,-0.108945,0.0789776,16.2225,6.22888,461.858,88,64,64,80
265,2.35324,-0.108485,0.0762511,18.0423,6.44667,461.501,88,64,64,80
266,2.35744,-0.112866,0.0706612,20.374,6.73667,461.438,88,64,64,80
